DUID,Station Name,Region,Dispatch Type,Fuel Source - Primary,Reg Cap generation (MW),2024-25 MLF,2023-24 MLF,StartDate
CROOKWF2,Crookwell 2 Wind Farm,NSW1,Generating Unit,Wind,96.04,0.9512,0.9608,1/09/2018
CROOKWF3,Crookwell 3 Wind Farm,NSW1,Generating Unit,Wind,57,,,1/11/2024
CROWLWF1,Crowlands Wind Farm,VIC1,Generating Unit,Wind,79.95,0.8833,0.8904,
CRURWF1,Crudine Ridge Wind Farm,NSW1,Generating Unit,Wind,141,0.928,0.926,1/06/2022
CULLRGWF,Cullerin Range Wind Farm,NSW1,Generating Unit,Wind,30,0.9317,0.9437,
DDSF1,Darling Downs Solar Farm,QLD1,Generating Unit,Solar,121,0.9755,0.9762,
DARLSF1,Darlington Point Solar Farm,NSW1,Generating Unit,Solar,324,0.8439,0.8958,1/04/2021
DAYDSF1,Daydream Solar Farm,QLD1,Generating Unit,Solar,167,0.9306,0.9098,
DIAPURWF1,Diapur Wind Farm,VIC1,Generating Unit,Wind,8,0.8733,0.8827,1/10/2021
DULAWF1,Dulacca Wind Farm,QLD1,Generating Unit,Wind,180,0.977,0.9776,1/12/2024
DUNDWF1,Dundonnell Wind Farm,VIC1,Generating Unit,Wind,168,0.981,0.987,1/06/2022
DUNDWF2,Dundonnell Wind Farm,VIC1,Generating Unit,Wind,46,0.981,0.987,1/06/2022
DUNDWF3,Dundonnell Wind Farm,VIC1,Generating Unit,Wind,121,0.981,0.987,1/06/2022
EDENVSF1,Edenvale Solar Park,QLD1,Generating Unit,Solar,180,0.9707,0.972,1/03/2024
ELAINWF1,Elaine Wind Farm,VIC1,Generating Unit,Wind,83.6,0.9475,0.9576,1/12/2020
EMERASF1,Emerald Solar Park,QLD1,Generating Unit,Solar,88,0.9331,0.9111,1/02/2019
FNWF1,Ferguson North Wind Farm,VIC1,Generating Unit,Wind,4,0.9993,0.9933,1/04/2021
FSWF1,Ferguson South Wind Farm,VIC1,Generating Unit,Wind,8,0.9993,0.9933,
FINLYSF1,Finley Solar Farm,NSW1,Generating Unit,Solar,162.36,0.8651,0.9255,1/11/2019
FLYCRKWF,Flyers Creek Wind Farm,NSW1,Generating Unit,Wind,145,1.0205,1.0266,1/10/2024
GANGARR1,Gangarri Solar Farm,QLD1,Generating Unit,Solar,162,0.9788,0.9837,
GANNSF1,Gannawarra Solar Farm,VIC1,Generating Unit,Solar,55,0.8962,0.9413,
GIRGSF,Girgarre Solar Farm,VIC1,Generating Unit,Solar,93.31,0.9477,,1/12/2024
GLENSF1,Glenrowan Solar Farm,VIC1,Generating Unit,Solar,126,0.9626,0.9627,1/02/2024
GLRWNSF1,Glenrowan West Solar Farm,VIC1,Generating Unit,Solar,132,0.9455,0.9675,1/04/2021
GPWFEST1,Golden Plains Wind Farm East,VIC1,Generating Unit,Wind,248,0.9808,,1/08/2025
GPWFEST2,Golden Plains Wind Farm East,VIC1,Generating Unit,Wind,260.4,0.9808,,1/08/2025
GPWFEST3,Golden Plains Wind Farm East,VIC1,Generating Unit,Wind,248,0.9808,,1/08/2025
GOONSF1,Goonumbla Solar Farm,NSW1,Generating Unit,Solar,85,0.8969,0.9,1/11/2021
GSWF1A,Goyder South Wind Farm 1A,SA1,Generating Unit,Wind,209,0.9643,0.9702,1/12/2024
GSWF1B1,Goyder South Wind Farm 1B,SA1,Generating Unit,Wind,203,0.9641,0.9728,1/12/2024
GRANWF1,Granville Harbour Wind Farm,TAS1,Generating Unit,Wind,110,0.9473,0.9388,1/12/2020
GRIFSF1,Griffith Solar Farm,NSW1,Generating Unit,Solar,27.2,0.8424,0.8894,
GULLRSF1,Gullen Range Solar Farm,NSW1,Generating Unit,Solar,10,0.9498,0.958,
GULLRWF1,Gullen Range Wind Farm,NSW1,Generating Unit,Wind,165,0.9498,0.958,
GULLRWF2,Gullen Range Wind Farm,NSW1,Generating Unit,Wind,110,0.9498,0.958,1/12/2023
GNNDHSF1,Gunnedah Solar Farm,NSW1,Generating Unit,Solar,144,0.8394,0.8273,1/10/2021
GUNNING1,Gunning Wind Farm,NSW1,Generating Unit,Wind,46.5,0.9317,0.9437,
HALLWF1,Hallett 1 Wind Farm,SA1,Generating Unit,Wind,94.5,0.9565,0.9599,
HALLWF2,Hallett 2 Wind Farm,SA1,Generating Unit,Wind,71.4,0.9526,0.957,
HAMISF1,Hamilton Solar Farm,QLD1,Generating Unit,Solar,57.5,0.9305,0.906,
HVWWPV1,Happy Valley Water Treatment Plant,SA1,Generating Unit,Solar,11,,,1/09/2022
HAUGHT11,Haughton Solar Farm Stage 1,QLD1,Generating Unit,Solar,132,0.9332,0.9151,1/09/2020
HD1WF1,Hawkesdale Wind Farm,VIC1,Generating Unit,Wind,96.6,,,1/10/2024
HAYMSF1,Hayman Solar Farm,QLD1,Generating Unit,Solar,57.75,0.9306,0.9098,
HEPWIND1,Hepburn Community Wind Farm,VIC1,Generating Unit,Wind,4.1,0.9718,0.9759,
HILLSTN1,Hillston Sun Farm ,NSW1,Generating Unit,Solar,110,0.8482,0.8979,1/07/2022
HDWF1,Hornsdale Wind Farm,SA1,Generating Unit,Wind,102.4,0.9423,0.9467,
HDWF2,Hornsdale Wind Farm 2,SA1,Generating Unit,Wind,102.4,0.9423,0.9467,
